latitude,longitude,altitude,gs,timestamp,fix_quality
-19.87029457,-43.96287536,161.02,203.90,1776431174199,1
-19.87029647,-43.96287536,161.02,203.90,1776431174199,1
-19.87029647,-43.96287536,161.02,225.01,1776431174600,1
-19.87029647,-43.96287536,161.02,230.57,1776431174800,1
-19.87030410,-43.96287536,161.02,230.57,1776431174800,1
-19.87030601,-43.96287155,160.84,235.75,1776431175199,1
-19.87030601,-43.96286773,160.84,255.57,1776431175600,1
-19.87030601,-43.96286773,160.85,245.01,1776431175800,1
-19.87030601,-43.96286773,160.85,245.01,1776431175800,1
-19.87030792,-43.96286773,160.86,245.01,1776431175800,1
-19.87030792,-43.96286392,160.86,260.94,1776431176399,1
-19.87031745,-43.96286392,160.86,260.94,1776431176399,1
-19.87031745,-43.96286392,160.91,262.98,1776431176799,1
-19.87031745,-43.96286392,160.91,262.98,1776431176799,1
-19.87032127,-43.96286392,160.91,262.98,1776431176799,1
-19.87032127,-43.96286773,160.92,358.73,1776431177399,1
-19.87032127,-43.96286773,160.92,358.73,1776431177399,1
-19.87032127,-43.96286773,160.92,358.73,1776431177399,1
-19.87032127,-43.96286773,160.92,358.73,1776431177399,1
-19.87032890,-43.96286773,160.91,358.73,1776431177399,1
-19.87032890,-43.96286392,160.81,402.06,1776431178399,1
-19.87033081,-43.96286392,160.81,402.06,1776431178399,1
-19.87033081,-43.96286773,160.79,415.95,1776431178799,1
-19.87033081,-43.96286773,160.79,415.95,1776431178799,1
-19.87033462,-43.96286773,160.79,415.95,1776431178799,1
-19.87033462,-43.96287155,160.76,394.29,1776431179399,1
-19.87033462,-43.96287155,160.76,394.29,1776431179399,1
-19.87033843,-43.96287155,160.76,394.29,1776431179399,1
-19.87033843,-43.96286773,160.76,411.14,1776431180000,1
-19.87033843,-43.96286773,160.76,411.14,1776431180000,1
-19.87034225,-43.96286773,160.76,411.14,1776431180000,1
-19.87034225,-43.96287536,160.81,397.43,1776431180600,1
-19.87034416,-43.96287536,160.81,397.43,1776431180600,1
-19.87034416,-43.96287536,160.81,398.55,1776431180799,1
-19.87034797,-43.96287536,160.81,398.55,1776431180799,1
-19.87034797,-43.96287536,160.78,411.69,1776431181200,1
-19.87034797,-43.96287536,160.78,411.69,1776431181200,1
-19.87034797,-43.96287536,160.78,411.69,1776431181200,1
-19.87034797,-43.96287918,161.19,418.36,1776431182000,1
-19.87034797,-43.96287918,161.19,418.36,1776431182000,1
-19.87034988,-43.96287918,161.19,418.36,1776431182000,1
-19.87035179,-43.96288299,161.19,422.62,1776431182600,1
-19.87035179,-43.96288681,161.18,414.66,1776431183000,1
-19.87035179,-43.96288681,161.18,414.66,1776431183000,1
-19.87035560,-43.96288681,161.18,414.66,1776431183000,1
-19.87035751,-43.96289062,161.54,419.29,1776431183600,1
-19.87035751,-43.96289443,161.53,409.29,1776431183799,1
-19.87035751,-43.96289443,161.53,409.29,1776431183799,1
-19.87035751,-43.96289443,161.52,409.29,1776431183799,1
-19.87035751,-43.96289443,161.52,409.29,1776431183799,1
-19.87035751,-43.96289443,161.52,409.29,1776431183799,1
-19.87035751,-43.96289825,161.95,417.25,1776431184799,1
-19.87035751,-43.96289825,161.95,417.25,1776431184799,1
-19.87036132,-43.96289825,161.95,417.25,1776431184799,1
-19.87036132,-43.96290206,161.91,408.73,1776431185399,1
-19.87036323,-43.96290206,161.91,408.73,1776431185399,1
-19.87036514,-43.96290588,161.89,416.70,1776431185799,1
-19.87036514,-43.96290588,161.89,421.51,1776431186000,1
-19.87036705,-43.96290588,161.89,421.51,1776431186000,1
-19.87036895,-43.96290969,162.09,423.55,1776431186399,1
-19.87037277,-43.96291351,162.08,416.14,1776431186600,1
-19.87037277,-43.96291351,162.04,415.77,1776431187000,1
-19.87037277,-43.96291351,162.04,415.77,1776431187000,1
-19.87037658,-43.96291351,162.04,415.77,1776431187000,1
-19.87037658,-43.96291732,161.97,414.47,1776431187600,1
-19.87037849,-43.96291732,161.97,414.47,1776431187600,1
-19.87037849,-43.96292495,162.38,415.03,1776431188000,1
-19.87037849,-43.96292495,162.38,415.03,1776431188000,1
-19.87038230,-43.96292495,162.38,415.03,1776431188000,1
-19.87038230,-43.96292877,162.30,435.03,1776431188600,1
-19.87038230,-43.96292877,162.30,435.03,1776431188600,1
-19.87038230,-43.96292877,162.30,435.03,1776431188600,1
-19.87038230,-43.96292877,162.22,435.03,1776431188600,1
-19.87038803,-43.96292877,162.22,435.03,1776431188600,1
-19.87038803,-43.96294021,162.75,427.25,1776431189600,1
-19.87038803,-43.96294021,162.75,427.25,1776431189600,1
